País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
158 Montenegro,TOTAL,Andalucía,..
158 Montenegro,TOTAL,Aragón,..
158 Montenegro,TOTAL,Asturias,
158 Montenegro,TOTAL,Balears,
158 Montenegro,TOTAL,Canarias,..
158 Montenegro,TOTAL,Cantabria,..
158 Montenegro,TOTAL,Castilla y León,5
158 Montenegro,TOTAL,Castilla-La Mancha,1
158 Montenegro,TOTAL,Cataluña,2
158 Montenegro,TOTAL,Comunitat Valenciana,1
158 Montenegro,TOTAL,Extremadura,..
158 Montenegro,TOTAL,Galicia,2
158 Montenegro,TOTAL,Madrid,
158 Montenegro,TOTAL,Murcia,
158 Montenegro,TOTAL,Navarra,
158 Montenegro,TOTAL,País Vasco,..
158 Montenegro,TOTAL,Rioja,
158 Montenegro,TOTAL,Ciudad autónoma de Ceuta,..
158 Montenegro,TOTAL,Ciudad autónoma de Melilla,..
120 Noruega,TOTAL,,4.406
120 Noruega,TOTAL,Andalucía,712
120 Noruega,TOTAL,Aragón,56
120 Noruega,TOTAL,Asturias,
120 Noruega,TOTAL,Balears,
120 Noruega,TOTAL,Canarias,445
120 Noruega,TOTAL,Cantabria,80
120 Noruega,TOTAL,Castilla y León,192
120 Noruega,TOTAL,Castilla-La Mancha,106
120 Noruega,TOTAL,Cataluña,696
120 Noruega,TOTAL,Comunitat Valenciana,543
120 Noruega,TOTAL,Extremadura,49
120 Noruega,TOTAL,Galicia,223
120 Noruega,TOTAL,Madrid,
120 Noruega,TOTAL,Murcia,
120 Noruega,TOTAL,Navarra,
120 Noruega,TOTAL,País Vasco,156
120 Noruega,TOTAL,Rioja,
120 Noruega,TOTAL,Ciudad autónoma de Ceuta,6
120 Noruega,TOTAL,Ciudad autónoma de Melilla,8
121 Países Bajos,TOTAL,,22.983
121 Países Bajos,TOTAL,Andalucía,4.419
121 Países Bajos,TOTAL,Aragón,389
121 Países Bajos,TOTAL,Asturias,
121 Países Bajos,TOTAL,Balears,
121 Países Bajos,TOTAL,Canarias,852
121 Países Bajos,TOTAL,Cantabria,420
121 Países Bajos,TOTAL,Castilla y León,1.361
121 Países Bajos,TOTAL,Castilla-La Mancha,449
121 Países Bajos,TOTAL,Cataluña,3.856
121 Países Bajos,TOTAL,Comunitat Valenciana,1.82
121 Países Bajos,TOTAL,Extremadura,558
121 Países Bajos,TOTAL,Galicia,2.73
121 Países Bajos,TOTAL,Madrid,
121 Países Bajos,TOTAL,Murcia,
121 Países Bajos,TOTAL,Navarra,
121 Países Bajos,TOTAL,País Vasco,576
121 Países Bajos,TOTAL,Rioja,
121 Países Bajos,TOTAL,Ciudad autónoma de Ceuta,162
121 Países Bajos,TOTAL,Ciudad autónoma de Melilla,277
122 Polonia,TOTAL,,1.464
122 Polonia,TOTAL,Andalucía,252
122 Polonia,TOTAL,Aragón,45
122 Polonia,TOTAL,Asturias,
122 Polonia,TOTAL,Balears,
122 Polonia,TOTAL,Canarias,57
122 Polonia,TOTAL,Cantabria,11
122 Polonia,TOTAL,Castilla y León,78
122 Polonia,TOTAL,Castilla-La Mancha,53
122 Polonia,TOTAL,Cataluña,197
122 Polonia,TOTAL,Comunitat Valenciana,130
122 Polonia,TOTAL,Extremadura,21
122 Polonia,TOTAL,Galicia,117
122 Polonia,TOTAL,Madrid,
122 Polonia,TOTAL,Murcia,
122 Polonia,TOTAL,Navarra,
122 Polonia,TOTAL,País Vasco,67
122 Polonia,TOTAL,Rioja,
122 Polonia,TOTAL,Ciudad autónoma de Ceuta,1
122 Polonia,TOTAL,Ciudad autónoma de Melilla,1
123 Portugal,TOTAL,,10.555
123 Portugal,TOTAL,Andalucía,1.231
123 Portugal,TOTAL,Aragón,145
123 Portugal,TOTAL,Asturias,
123 Portugal,TOTAL,Balears,
123 Portugal,TOTAL,Canarias,204
123 Portugal,TOTAL,Cantabria,114
123 Portugal,TOTAL,Castilla y León,693
123 Portugal,TOTAL,Castilla-La Mancha,147
123 Portugal,TOTAL,Cataluña,793
123 Portugal,TOTAL,Comunitat Valenciana,349
123 Portugal,TOTAL,Extremadura,582
123 Portugal,TOTAL,Galicia,3.577
123 Portugal,TOTAL,Madrid,
123 Portugal,TOTAL,Murcia,
123 Portugal,TOTAL,Navarra,
123 Portugal,TOTAL,País Vasco,309
123 Portugal,TOTAL,Rioja,
123 Portugal,TOTAL,Ciudad autónoma de Ceuta,11
123 Portugal,TOTAL,Ciudad autónoma de Melilla,2
125 Reino Unido,TOTAL,,109.207
125 Reino Unido,TOTAL,Andalucía,15.157
125 Reino Unido,TOTAL,Aragón,2.352
125 Reino Unido,TOTAL,Asturias,
125 Reino Unido,TOTAL,Balears,
125 Reino Unido,TOTAL,Canarias,4.827
125 Reino Unido,TOTAL,Cantabria,1.335
125 Reino Unido,TOTAL,Castilla y León,4.906
125 Reino Unido,TOTAL,Castilla-La Mancha,2.655
125 Reino Unido,TOTAL,Cataluña,15.61
125 Reino Unido,TOTAL,Comunitat Valenciana,9.203
125 Reino Unido,TOTAL,Extremadura,1.09
125 Reino Unido,TOTAL,Galicia,12.947
125 Reino Unido,TOTAL,Madrid,
125 Reino Unido,TOTAL,Murcia,
125 Reino Unido,TOTAL,Navarra,
125 Reino Unido,TOTAL,País Vasco,4.776
125 Reino Unido,TOTAL,Rioja,
125 Reino Unido,TOTAL,Ciudad autónoma de Ceuta,150
125 Reino Unido,TOTAL,Ciudad autónoma de Melilla,91
143 República Checa,TOTAL,,1.117
143 República Checa,TOTAL,Andalucía,192
143 República Checa,TOTAL,Aragón,32
143 República Checa,TOTAL,Asturias,
143 República Checa,TOTAL,Balears,
143 República Checa,TOTAL,Canarias,45
143 República Checa,TOTAL,Cantabria,11
143 República Checa,TOTAL,Castilla y León,47
143 República Checa,TOTAL,Castilla-La Mancha,34
143 República Checa,TOTAL,Cataluña,171
143 República Checa,TOTAL,Comunitat Valenciana,106
143 República Checa,TOTAL,Extremadura,16
143 República Checa,TOTAL,Galicia,73
143 República Checa,TOTAL,Madrid,
143 República Checa,TOTAL,Murcia,
143 República Checa,TOTAL,Navarra,
143 República Checa,TOTAL,País Vasco,56
143 República Checa,TOTAL,Rioja,
143 República Checa,TOTAL,Ciudad autónoma de Ceuta,2
143 República Checa,TOTAL,Ciudad autónoma de Melilla,..
144 República Eslovaca,TOTAL,,292
144 República Eslovaca,TOTAL,Andalucía,42
144 República Eslovaca,TOTAL,Aragón,10
144 República Eslovaca,TOTAL,Asturias,
144 República Eslovaca,TOTAL,Balears,
144 República Eslovaca,TOTAL,Canarias,19
144 República Eslovaca,TOTAL,Cantabria,2
144 República Eslovaca,TOTAL,Castilla y León,12
144 República Eslovaca,TOTAL,Castilla-La Mancha,8
144 República Eslovaca,TOTAL,Cataluña,45
144 República Eslovaca,TOTAL,Comunitat Valenciana,25
144 República Eslovaca,TOTAL,Extremadura,5
144 República Eslovaca,TOTAL,Galicia,24
144 República Eslovaca,TOTAL,Madrid,
144 República Eslovaca,TOTAL,Murcia,
144 República Eslovaca,TOTAL,Navarra,
144 República Eslovaca,TOTAL,País Vasco,10
144 República Eslovaca,TOTAL,Rioja,
144 República Eslovaca,TOTAL,Ciudad autónoma de Ceuta,..
144 República Eslovaca,TOTAL,Ciudad autónoma de Melilla,..
128 Rumanía,TOTAL,,415
128 Rumanía,TOTAL,Andalucía,51
128 Rumanía,TOTAL,Aragón,17
128 Rumanía,TOTAL,Asturias,
128 Rumanía,TOTAL,Balears,
128 Rumanía,TOTAL,Canarias,7
128 Rumanía,TOTAL,Cantabria,3
128 Rumanía,TOTAL,Castilla y León,22
128 Rumanía,TOTAL,Castilla-La Mancha,14
128 Rumanía,TOTAL,Cataluña,69
128 Rumanía,TOTAL,Comunitat Valenciana,34
128 Rumanía,TOTAL,Extremadura,5
128 Rumanía,TOTAL,Galicia,15
128 Rumanía,TOTAL,Madrid,
128 Rumanía,TOTAL,Murcia,
128 Rumanía,TOTAL,Navarra,
128 Rumanía,TOTAL,País Vasco,20
128 Rumanía,TOTAL,Rioja,
128 Rumanía,TOTAL,Ciudad autónoma de Ceuta,..
128 Rumanía,TOTAL,Ciudad autónoma de Melilla,..
154 Rusia,TOTAL,,1.805
154 Rusia,TOTAL,Andalucía,121
154 Rusia,TOTAL,Aragón,39
154 Rusia,TOTAL,Asturias,
154 Rusia,TOTAL,Balears,
154 Rusia,TOTAL,Canarias,26
154 Rusia,TOTAL,Cantabria,48
154 Rusia,TOTAL,Castilla y León,47
154 Rusia,TOTAL,Castilla-La Mancha,39
154 Rusia,TOTAL,Cataluña,146
154 Rusia,TOTAL,Comunitat Valenciana,106
154 Rusia,TOTAL,Extremadura,5
154 Rusia,TOTAL,Galicia,68
154 Rusia,TOTAL,Madrid,
154 Rusia,TOTAL,Murcia,
154 Rusia,TOTAL,Navarra,
154 Rusia,TOTAL,País Vasco,427
154 Rusia,TOTAL,Rioja,
154 Rusia,TOTAL,Ciudad autónoma de Ceuta,..
154 Rusia,TOTAL,Ciudad autónoma de Melilla,..
157 Serbia,TOTAL,,169
157 Serbia,TOTAL,Andalucía,13
157 Serbia,TOTAL,Aragón,3
157 Serbia,TOTAL,Asturias,
157 Serbia,TOTAL,Balears,
157 Serbia,TOTAL,Canarias,4
157 Serbia,TOTAL,Cantabria,1
157 Serbia,TOTAL,Castilla y León,10
157 Serbia,TOTAL,Castilla-La Mancha,4
157 Serbia,TOTAL,Cataluña,31
157 Serbia,TOTAL,Comunitat Valenciana,11
157 Serbia,TOTAL,Extremadura,1
157 Serbia,TOTAL,Galicia,12
157 Serbia,TOTAL,Madrid,
157 Serbia,TOTAL,Murcia,
157 Serbia,TOTAL,Navarra,
157 Serbia,TOTAL,País Vasco,10
157 Serbia,TOTAL,Rioja,
157 Serbia,TOTAL,Ciudad autónoma de Ceuta,..
157 Serbia,TOTAL,Ciudad autónoma de Melilla,..
131 Suecia,TOTAL,,8.125
131 Suecia,TOTAL,Andalucía,1.158
131 Suecia,TOTAL,Aragón,170
131 Suecia,TOTAL,Asturias,
131 Suecia,TOTAL,Balears,
131 Suecia,TOTAL,Canarias,708
131 Suecia,TOTAL,Cantabria,96
131 Suecia,TOTAL,Castilla y León,455
131 Suecia,TOTAL,Castilla-La Mancha,162
131 Suecia,TOTAL,Cataluña,1.354
131 Suecia,TOTAL,Comunitat Valenciana,704
131 Suecia,TOTAL,Extremadura,76
131 Suecia,TOTAL,Galicia,367
131 Suecia,TOTAL,Madrid,
131 Suecia,TOTAL,Murcia,
131 Suecia,TOTAL,Navarra,
131 Suecia,TOTAL,País Vasco,280
131 Suecia,TOTAL,Rioja,
131 Suecia,TOTAL,Ciudad autónoma de Ceuta,15
131 Suecia,TOTAL,Ciudad autónoma de Melilla,8
132 Suiza,TOTAL,,98.309
132 Suiza,TOTAL,Andalucía,11.062
132 Suiza,TOTAL,Aragón,1.039
132 Suiza,TOTAL,Asturias,
132 Suiza,TOTAL,Balears,
132 Suiza,TOTAL,Canarias,1.059
132 Suiza,TOTAL,Cantabria,681
132 Suiza,TOTAL,Castilla y León,6.475
132 Suiza,TOTAL,Castilla-La Mancha,1.594
132 Suiza,TOTAL,Cataluña,12.619
132 Suiza,TOTAL,Comunitat Valenciana,8.131
132 Suiza,TOTAL,Extremadura,1.736
132 Suiza,TOTAL,Galicia,33.407
132 Suiza,TOTAL,Madrid,
132 Suiza,TOTAL,Murcia,
132 Suiza,TOTAL,Navarra,
132 Suiza,TOTAL,País Vasco,1.545
132 Suiza,TOTAL,Rioja,
132 Suiza,TOTAL,Ciudad autónoma de Ceuta,77
132 Suiza,TOTAL,Ciudad autónoma de Melilla,90
135 Ucrania,TOTAL,,248
135 Ucrania,TOTAL,Andalucía,16
135 Ucrania,TOTAL,Aragón,9
135 Ucrania,TOTAL,Asturias,
135 Ucrania,TOTAL,Balears,
135 Ucrania,TOTAL,Canarias,1
135 Ucrania,TOTAL,Cantabria,3
135 Ucrania,TOTAL,Castilla y León,13
135 Ucrania,TOTAL,Castilla-La Mancha,1
135 Ucrania,TOTAL,Cataluña,8
135 Ucrania,TOTAL,Comunitat Valenciana,11
135 Ucrania,TOTAL,Extremadura,1
135 Ucrania,TOTAL,Galicia,5
135 Ucrania,TOTAL,Madrid,
135 Ucrania,TOTAL,Murcia,
135 Ucrania,TOTAL,Navarra,
135 Ucrania,TOTAL,País Vasco,6
135 Ucrania,TOTAL,Rioja,
135 Ucrania,TOTAL,Ciudad autónoma de Ceuta,1
135 Ucrania,TOTAL,Ciudad autónoma de Melilla,..
202 Angola,TOTAL,,303
202 Angola,TOTAL,Andalucía,31
202 Angola,TOTAL,Aragón,6
202 Angola,TOTAL,Asturias,
202 Angola,TOTAL,Balears,
202 Angola,TOTAL,Canarias,16
202 Angola,TOTAL,Cantabria,3
202 Angola,TOTAL,Castilla y León,25
202 Angola,TOTAL,Castilla-La Mancha,14
202 Angola,TOTAL,Cataluña,36
202 Angola,TOTAL,Comunitat Valenciana,10
202 Angola,TOTAL,Extremadura,2
202 Angola,TOTAL,Galicia,49
202 Angola,TOTAL,Madrid,
202 Angola,TOTAL,Murcia,
202 Angola,TOTAL,Navarra,
202 Angola,TOTAL,País Vasco,11
202 Angola,TOTAL,Rioja,
202 Angola,TOTAL,Ciudad autónoma de Ceuta,..
202 Angola,TOTAL,Ciudad autónoma de Melilla,..
203 Argelia,TOTAL,,545
203 Argelia,TOTAL,Andalucía,87
203 Argelia,TOTAL,Aragón,10
203 Argelia,TOTAL,Asturias,
203 Argelia,TOTAL,Balears,
203 Argelia,TOTAL,Canarias,12
203 Argelia,TOTAL,Cantabria,11
203 Argelia,TOTAL,Castilla y León,16
203 Argelia,TOTAL,Castilla-La Mancha,27
203 Argelia,TOTAL,Cataluña,54
203 Argelia,TOTAL,Comunitat Valenciana,110
203 Argelia,TOTAL,Extremadura,7
203 Argelia,TOTAL,Galicia,28
203 Argelia,TOTAL,Madrid,
203 Argelia,TOTAL,Murcia,
203 Argelia,TOTAL,Navarra,
203 Argelia,TOTAL,País Vasco,33
203 Argelia,TOTAL,Rioja,
203 Argelia,TOTAL,Ciudad autónoma de Ceuta,..
203 Argelia,TOTAL,Ciudad autónoma de Melilla,1
204 Benin,TOTAL,,30
204 Benin,TOTAL,Andalucía,3
204 Benin,TOTAL,Aragón,..
204 Benin,TOTAL,Asturias,
204 Benin,TOTAL,Balears,
204 Benin,TOTAL,Canarias,2
204 Benin,TOTAL,Cantabria,..
204 Benin,TOTAL,Castilla y León,2
204 Benin,TOTAL,Castilla-La Mancha,..
204 Benin,TOTAL,Cataluña,6
204 Benin,TOTAL,Comunitat Valenciana,4
204 Benin,TOTAL,Extremadura,1
204 Benin,TOTAL,Galicia,..
204 Benin,TOTAL,Madrid,
204 Benin,TOTAL,Murcia,
204 Benin,TOTAL,Navarra,
204 Benin,TOTAL,País Vasco,3
204 Benin,TOTAL,Rioja,
204 Benin,TOTAL,Ciudad autónoma de Ceuta,..
204 Benin,TOTAL,Ciudad autónoma de Melilla,..
205 Botswana,TOTAL,,10
205 Botswana,TOTAL,Andalucía,1
205 Botswana,TOTAL,Aragón,..
205 Botswana,TOTAL,Asturias,
205 Botswana,TOTAL,Balears,
205 Botswana,TOTAL,Canarias,1
205 Botswana,TOTAL,Cantabria,3
205 Botswana,TOTAL,Castilla y León,..
205 Botswana,TOTAL,Castilla-La Mancha,..
205 Botswana,TOTAL,Cataluña,1
205 Botswana,TOTAL,Comunitat Valenciana,..
205 Botswana,TOTAL,Extremadura,..
205 Botswana,TOTAL,Galicia,1
205 Botswana,TOTAL,Madrid,
205 Botswana,TOTAL,Murcia,
205 Botswana,TOTAL,Navarra,
205 Botswana,TOTAL,País Vasco,1
205 Botswana,TOTAL,Rioja,
205 Botswana,TOTAL,Ciudad autónoma de Ceuta,..
205 Botswana,TOTAL,Ciudad autónoma de Melilla,..
201 Burkina Faso,TOTAL,,25
201 Burkina Faso,TOTAL,Andalucía,1
201 Burkina Faso,TOTAL,Aragón,..
201 Burkina Faso,TOTAL,Asturias,
201 Burkina Faso,TOTAL,Balears,
201 Burkina Faso,TOTAL,Canarias,1
201 Burkina Faso,TOTAL,Cantabria,..
201 Burkina Faso,TOTAL,Castilla y León,2
201 Burkina Faso,TOTAL,Castilla-La Mancha,..
201 Burkina Faso,TOTAL,Cataluña,10
201 Burkina Faso,TOTAL,Comunitat Valenciana,3
201 Burkina Faso,TOTAL,Extremadura,1
201 Burkina Faso,TOTAL,Galicia,..
201 Burkina Faso,TOTAL,Madrid,
201 Burkina Faso,TOTAL,Murcia,
201 Burkina Faso,TOTAL,Navarra,
201 Burkina Faso,TOTAL,País Vasco,1
201 Burkina Faso,TOTAL,Rioja,
201 Burkina Faso,TOTAL,Ciudad autónoma de Ceuta,..
201 Burkina Faso,TOTAL,Ciudad autónoma de Melilla,..
207 Cabo Verde,TOTAL,,93
207 Cabo Verde,TOTAL,Andalucía,5
207 Cabo Verde,TOTAL,Aragón,2
207 Cabo Verde,TOTAL,Asturias,
207 Cabo Verde,TOTAL,Balears,
207 Cabo Verde,TOTAL,Canarias,21
207 Cabo Verde,TOTAL,Cantabria,3
207 Cabo Verde,TOTAL,Castilla y León,6
207 Cabo Verde,TOTAL,Castilla-La Mancha,..
207 Cabo Verde,TOTAL,Cataluña,16
207 Cabo Verde,TOTAL,Comunitat Valenciana,1
207 Cabo Verde,TOTAL,Extremadura,1
207 Cabo Verde,TOTAL,Galicia,5
207 Cabo Verde,TOTAL,Madrid,
207 Cabo Verde,TOTAL,Murcia,
207 Cabo Verde,TOTAL,Navarra,
207 Cabo Verde,TOTAL,País Vasco,11
207 Cabo Verde,TOTAL,Rioja,
207 Cabo Verde,TOTAL,Ciudad autónoma de Ceuta,..
207 Cabo Verde,TOTAL,Ciudad autónoma de Melilla,..
208 Camerún,TOTAL,,177
208 Camerún,TOTAL,Andalucía,21
208 Camerún,TOTAL,Aragón,2
208 Camerún,TOTAL,Asturias,
208 Camerún,TOTAL,Balears,
208 Camerún,TOTAL,Canarias,4
208 Camerún,TOTAL,Cantabria,6
208 Camerún,TOTAL,Castilla y León,11
208 Camerún,TOTAL,Castilla-La Mancha,2
208 Camerún,TOTAL,Cataluña,38
208 Camerún,TOTAL,Comunitat Valenciana,12
208 Camerún,TOTAL,Extremadura,1
208 Camerún,TOTAL,Galicia,15
208 Camerún,TOTAL,Madrid,
208 Camerún,TOTAL,Murcia,
208 Camerún,TOTAL,Navarra,
208 Camerún,TOTAL,País Vasco,10
208 Camerún,TOTAL,Rioja,
208 Camerún,TOTAL,Ciudad autónoma de Ceuta,..
208 Camerún,TOTAL,Ciudad autónoma de Melilla,..
246 Chad,TOTAL,,13
246 Chad,TOTAL,Andalucía,2
246 Chad,TOTAL,Aragón,2
246 Chad,TOTAL,Asturias,
246 Chad,TOTAL,Balears,
246 Chad,TOTAL,Canarias,1
246 Chad,TOTAL,Cantabria,..
246 Chad,TOTAL,Castilla y León,2
246 Chad,TOTAL,Castilla-La Mancha,..
246 Chad,TOTAL,Cataluña,..
246 Chad,TOTAL,Comunitat Valenciana,2
246 Chad,TOTAL,Extremadura,..
246 Chad,TOTAL,Galicia,..
246 Chad,TOTAL,Madrid,
246 Chad,TOTAL,Murcia,
246 Chad,TOTAL,Navarra,
246 Chad,TOTAL,País Vasco,1
246 Chad,TOTAL,Rioja,
246 Chad,TOTAL,Ciudad autónoma de Ceuta,..
246 Chad,TOTAL,Ciudad autónoma de Melilla,..
210 Congo,TOTAL,,9
210 Congo,TOTAL,Andalucía,2
210 Congo,TOTAL,Aragón,..
210 Congo,TOTAL,Asturias,
210 Congo,TOTAL,Balears,
210 Congo,TOTAL,Canarias,..
210 Congo,TOTAL,Cantabria,..
210 Congo,TOTAL,Castilla y León,1
210 Congo,TOTAL,Castilla-La Mancha,..
210 Congo,TOTAL,Cataluña,..
210 Congo,TOTAL,Comunitat Valenciana,1
210 Congo,TOTAL,Extremadura,..
210 Congo,TOTAL,Galicia,..
210 Congo,TOTAL,Madrid,
210 Congo,TOTAL,Murcia,
210 Congo,TOTAL,Navarra,
210 Congo,TOTAL,País Vasco,..
210 Congo,TOTAL,Rioja,
210 Congo,TOTAL,Ciudad autónoma de Ceuta,..
210 Congo,TOTAL,Ciudad autónoma de Melilla,..
211 Costa de Marfil,TOTAL,,187
211 Costa de Marfil,TOTAL,Andalucía,18
211 Costa de Marfil,TOTAL,Aragón,13
211 Costa de Marfil,TOTAL,Asturias,
211 Costa de Marfil,TOTAL,Balears,
211 Costa de Marfil,TOTAL,Canarias,24
211 Costa de Marfil,TOTAL,Cantabria,2
211 Costa de Marfil,TOTAL,Castilla y León,11
211 Costa de Marfil,TOTAL,Castilla-La Mancha,2
211 Costa de Marfil,TOTAL,Cataluña,31
211 Costa de Marfil,TOTAL,Comunitat Valenciana,14
211 Costa de Marfil,TOTAL,Extremadura,2
211 Costa de Marfil,TOTAL,Galicia,13
211 Costa de Marfil,TOTAL,Madrid,
211 Costa de Marfil,TOTAL,Murcia,
211 Costa de Marfil,TOTAL,Navarra,
211 Costa de Marfil,TOTAL,País Vasco,5
211 Costa de Marfil,TOTAL,Rioja,
211 Costa de Marfil,TOTAL,Ciudad autónoma de Ceuta,..
211 Costa de Marfil,TOTAL,Ciudad autónoma de Melilla,..
213 Egipto,TOTAL,,440
213 Egipto,TOTAL,Andalucía,64
213 Egipto,TOTAL,Aragón,10
213 Egipto,TOTAL,Asturias,
213 Egipto,TOTAL,Balears,
213 Egipto,TOTAL,Canarias,8
213 Egipto,TOTAL,Cantabria,2
213 Egipto,TOTAL,Castilla y León,21
213 Egipto,TOTAL,Castilla-La Mancha,7
213 Egipto,TOTAL,Cataluña,72
213 Egipto,TOTAL,Comunitat Valenciana,34
213 Egipto,TOTAL,Extremadura,2
213 Egipto,TOTAL,Galicia,23
213 Egipto,TOTAL,Madrid,
213 Egipto,TOTAL,Murcia,
213 Egipto,TOTAL,Navarra,
213 Egipto,TOTAL,País Vasco,9
213 Egipto,TOTAL,Rioja,
213 Egipto,TOTAL,Ciudad autónoma de Ceuta,2
213 Egipto,TOTAL,Ciudad autónoma de Melilla,1
253 Eritrea,TOTAL,,1
253 Eritrea,TOTAL,Andalucía,1
253 Eritrea,TOTAL,Aragón,..
253 Eritrea,TOTAL,Asturias,
253 Eritrea,TOTAL,Balears,
253 Eritrea,TOTAL,Canarias,..
253 Eritrea,TOTAL,Cantabria,..
253 Eritrea,TOTAL,Castilla y León,..
253 Eritrea,TOTAL,Castilla-La Mancha,..
253 Eritrea,TOTAL,Cataluña,..
253 Eritrea,TOTAL,Comunitat Valenciana,..
253 Eritrea,TOTAL,Extremadura,..
253 Eritrea,TOTAL,Galicia,..
253 Eritrea,TOTAL,Madrid,
253 Eritrea,TOTAL,Murcia,
253 Eritrea,TOTAL,Navarra,
253 Eritrea,TOTAL,País Vasco,..
253 Eritrea,TOTAL,Rioja,
253 Eritrea,TOTAL,Ciudad autónoma de Ceuta,..
253 Eritrea,TOTAL,Ciudad autónoma de Melilla,..
214 Etiopía,TOTAL,,92
214 Etiopía,TOTAL,Andalucía,13
214 Etiopía,TOTAL,Aragón,3
214 Etiopía,TOTAL,Asturias,
214 Etiopía,TOTAL,Balears,
214 Etiopía,TOTAL,Canarias,3
214 Etiopía,TOTAL,Cantabria,2
214 Etiopía,TOTAL,Castilla y León,5
214 Etiopía,TOTAL,Castilla-La Mancha,2
214 Etiopía,TOTAL,Cataluña,15
214 Etiopía,TOTAL,Comunitat Valenciana,2
214 Etiopía,TOTAL,Extremadura,2
214 Etiopía,TOTAL,Galicia,8
214 Etiopía,TOTAL,Madrid,
214 Etiopía,TOTAL,Murcia,
214 Etiopía,TOTAL,Navarra,
214 Etiopía,TOTAL,País Vasco,2
214 Etiopía,TOTAL,Rioja,
214 Etiopía,TOTAL,Ciudad autónoma de Ceuta,..
214 Etiopía,TOTAL,Ciudad autónoma de Melilla,..
215 Gabón,TOTAL,,59
215 Gabón,TOTAL,Andalucía,8
215 Gabón,TOTAL,Aragón,2
215 Gabón,TOTAL,Asturias,
215 Gabón,TOTAL,Balears,
215 Gabón,TOTAL,Canarias,..
215 Gabón,TOTAL,Cantabria,..
215 Gabón,TOTAL,Castilla y León,8
215 Gabón,TOTAL,Castilla-La Mancha,..
215 Gabón,TOTAL,Cataluña,11
215 Gabón,TOTAL,Comunitat Valenciana,5
215 Gabón,TOTAL,Extremadura,1
215 Gabón,TOTAL,Galicia,..
215 Gabón,TOTAL,Madrid,
215 Gabón,TOTAL,Murcia,
215 Gabón,TOTAL,Navarra,
215 Gabón,TOTAL,País Vasco,2
215 Gabón,TOTAL,Rioja,
215 Gabón,TOTAL,Ciudad autónoma de Ceuta,..
215 Gabón,TOTAL,Ciudad autónoma de Melilla,..
216 Gambia,TOTAL,,141
216 Gambia,TOTAL,Andalucía,1
216 Gambia,TOTAL,Aragón,15
216 Gambia,TOTAL,Asturias,
216 Gambia,TOTAL,Balears,
216 Gambia,TOTAL,Canarias,5
216 Gambia,TOTAL,Cantabria,1
216 Gambia,TOTAL,Castilla y León,..
216 Gambia,TOTAL,Castilla-La Mancha,..
216 Gambia,TOTAL,Cataluña,110
216 Gambia,TOTAL,Comunitat Valenciana,..
216 Gambia,TOTAL,Extremadura,..
216 Gambia,TOTAL,Galicia,1
216 Gambia,TOTAL,Madrid,
216 Gambia,TOTAL,Murcia,
216 Gambia,TOTAL,Navarra,
216 Gambia,TOTAL,País Vasco,1
216 Gambia,TOTAL,Rioja,
216 Gambia,TOTAL,Ciudad autónoma de Ceuta,..
216 Gambia,TOTAL,Ciudad autónoma de Melilla,..
217 Ghana,TOTAL,,137
217 Ghana,TOTAL,Andalucía,18
217 Ghana,TOTAL,Aragón,8
217 Ghana,TOTAL,Asturias,
217 Ghana,TOTAL,Balears,
217 Ghana,TOTAL,Canarias,6
217 Ghana,TOTAL,Cantabria,3
217 Ghana,TOTAL,Castilla y León,4
217 Ghana,TOTAL,Castilla-La Mancha,2
217 Ghana,TOTAL,Cataluña,28
217 Ghana,TOTAL,Comunitat Valenciana,11
217 Ghana,TOTAL,Extremadura,2
217 Ghana,TOTAL,Galicia,9
217 Ghana,TOTAL,Madrid,
217 Ghana,TOTAL,Murcia,
217 Ghana,TOTAL,Navarra,
217 Ghana,TOTAL,País Vasco,6
217 Ghana,TOTAL,Rioja,
217 Ghana,TOTAL,Ciudad autónoma de Ceuta,..
217 Ghana,TOTAL,Ciudad autónoma de Melilla,..
218 Guinea,TOTAL,,43
218 Guinea,TOTAL,Andalucía,1
218 Guinea,TOTAL,Aragón,1
218 Guinea,TOTAL,Asturias,
218 Guinea,TOTAL,Balears,
218 Guinea,TOTAL,Canarias,3
218 Guinea,TOTAL,Cantabria,..
218 Guinea,TOTAL,Castilla y León,3
218 Guinea,TOTAL,Castilla-La Mancha,1
218 Guinea,TOTAL,Cataluña,12
218 Guinea,TOTAL,Comunitat Valenciana,4
218 Guinea,TOTAL,Extremadura,..
218 Guinea,TOTAL,Galicia,2
218 Guinea,TOTAL,Madrid,
218 Guinea,TOTAL,Murcia,
218 Guinea,TOTAL,Navarra,
218 Guinea,TOTAL,País Vasco,2
218 Guinea,TOTAL,Rioja,
218 Guinea,TOTAL,Ciudad autónoma de Ceuta,..
218 Guinea,TOTAL,Ciudad autónoma de Melilla,..
220 Guinea Ecuatorial,TOTAL,,1.54
220 Guinea Ecuatorial,TOTAL,Andalucía,118
220 Guinea Ecuatorial,TOTAL,Aragón,68
220 Guinea Ecuatorial,TOTAL,Asturias,
220 Guinea Ecuatorial,TOTAL,Balears,
220 Guinea Ecuatorial,TOTAL,Canarias,63
220 Guinea Ecuatorial,TOTAL,Cantabria,11
220 Guinea Ecuatorial,TOTAL,Castilla y León,49
