País de residencia,Total Nacional,Comunidades y Ciudades Autónomas,Total
103 Bélgica,TOTAL,Castilla y León,3.158
103 Bélgica,TOTAL,Castilla-La Mancha,1.001
103 Bélgica,TOTAL,Cataluña,6.394
103 Bélgica,TOTAL,Comunitat Valenciana,2.852
103 Bélgica,TOTAL,Extremadura,945
103 Bélgica,TOTAL,Galicia,2.469
103 Bélgica,TOTAL,Madrid,
103 Bélgica,TOTAL,Murcia,
103 Bélgica,TOTAL,Navarra,
103 Bélgica,TOTAL,País Vasco,1.324
103 Bélgica,TOTAL,Rioja,
103 Bélgica,TOTAL,Ciudad autónoma de Ceuta,202
103 Bélgica,TOTAL,Ciudad autónoma de Melilla,399
145 Bosnia y Herzegovina,TOTAL,,51
145 Bosnia y Herzegovina,TOTAL,Andalucía,11
145 Bosnia y Herzegovina,TOTAL,Aragón,..
145 Bosnia y Herzegovina,TOTAL,Asturias,
145 Bosnia y Herzegovina,TOTAL,Balears,
145 Bosnia y Herzegovina,TOTAL,Canarias,..
145 Bosnia y Herzegovina,TOTAL,Cantabria,..
145 Bosnia y Herzegovina,TOTAL,Castilla y León,3
145 Bosnia y Herzegovina,TOTAL,Castilla-La Mancha,2
145 Bosnia y Herzegovina,TOTAL,Cataluña,5
145 Bosnia y Herzegovina,TOTAL,Comunitat Valenciana,5
145 Bosnia y Herzegovina,TOTAL,Extremadura,1
145 Bosnia y Herzegovina,TOTAL,Galicia,3
145 Bosnia y Herzegovina,TOTAL,Madrid,
145 Bosnia y Herzegovina,TOTAL,Murcia,
145 Bosnia y Herzegovina,TOTAL,Navarra,
145 Bosnia y Herzegovina,TOTAL,País Vasco,1
145 Bosnia y Herzegovina,TOTAL,Rioja,
145 Bosnia y Herzegovina,TOTAL,Ciudad autónoma de Ceuta,1
145 Bosnia y Herzegovina,TOTAL,Ciudad autónoma de Melilla,..
104 Bulgaria,TOTAL,,221
104 Bulgaria,TOTAL,Andalucía,29
104 Bulgaria,TOTAL,Aragón,6
104 Bulgaria,TOTAL,Asturias,
104 Bulgaria,TOTAL,Balears,
104 Bulgaria,TOTAL,Canarias,7
104 Bulgaria,TOTAL,Cantabria,4
104 Bulgaria,TOTAL,Castilla y León,8
104 Bulgaria,TOTAL,Castilla-La Mancha,9
104 Bulgaria,TOTAL,Cataluña,36
104 Bulgaria,TOTAL,Comunitat Valenciana,32
104 Bulgaria,TOTAL,Extremadura,3
104 Bulgaria,TOTAL,Galicia,10
104 Bulgaria,TOTAL,Madrid,
104 Bulgaria,TOTAL,Murcia,
104 Bulgaria,TOTAL,Navarra,
104 Bulgaria,TOTAL,País Vasco,6
104 Bulgaria,TOTAL,Rioja,
104 Bulgaria,TOTAL,Ciudad autónoma de Ceuta,..
104 Bulgaria,TOTAL,Ciudad autónoma de Melilla,..
106 Chipre,TOTAL,,209
106 Chipre,TOTAL,Andalucía,39
106 Chipre,TOTAL,Aragón,2
106 Chipre,TOTAL,Asturias,
106 Chipre,TOTAL,Balears,
106 Chipre,TOTAL,Canarias,11
106 Chipre,TOTAL,Cantabria,4
106 Chipre,TOTAL,Castilla y León,10
106 Chipre,TOTAL,Castilla-La Mancha,4
106 Chipre,TOTAL,Cataluña,32
106 Chipre,TOTAL,Comunitat Valenciana,18
106 Chipre,TOTAL,Extremadura,3
106 Chipre,TOTAL,Galicia,17
106 Chipre,TOTAL,Madrid,
106 Chipre,TOTAL,Murcia,
106 Chipre,TOTAL,Navarra,
106 Chipre,TOTAL,País Vasco,15
106 Chipre,TOTAL,Rioja,
106 Chipre,TOTAL,Ciudad autónoma de Ceuta,..
106 Chipre,TOTAL,Ciudad autónoma de Melilla,..
146 Croacia,TOTAL,,148
146 Croacia,TOTAL,Andalucía,22
146 Croacia,TOTAL,Aragón,3
146 Croacia,TOTAL,Asturias,
146 Croacia,TOTAL,Balears,
146 Croacia,TOTAL,Canarias,9
146 Croacia,TOTAL,Cantabria,3
